date,open,high,low,close
2017-06-13,1.1207,1.12958,1.11932,1.12182
2017-06-14,1.12179,1.12285,1.11323,1.11452
2017-06-15,1.11466,1.12018,1.11386,1.11966
2017-06-18,1.12078,1.12127,1.11432,1.11481
2017-06-19,1.1149,1.11649,1.11191,1.11342
2017-06-20,1.11339,1.1169,1.11274,1.11684
2017-06-21,1.1168,1.11779,1.11395,1.11513
2017-06-22,1.11526,1.12088,1.11454,1.11938
2017-06-25,1.12,1.12197,1.1172,1.11817
2017-06-26,1.11828,1.13494,1.11791,1.13388
2017-06-27,1.13384,1.13908,1.12918,1.13772
2017-06-28,1.1379,1.14454,1.13746,1.14406
2017-06-29,1.1441,1.14454,1.13923,1.14252
2017-07-02,1.14186,1.1427,1.13551,1.1364
2017-07-03,1.13636,1.1377,1.13362,1.1346
2017-07-04,1.13452,1.13684,1.13126,1.13514
2017-07-05,1.13517,1.14248,1.13299,1.14234
2017-07-06,1.14232,1.14397,1.13797,1.14001
2017-07-09,1.13985,1.14181,1.13818,1.13994
2017-07-10,1.13992,1.14797,1.13829,1.14672
2017-07-11,1.14665,1.14894,1.13919,1.14117
2017-07-12,1.1413,1.14558,1.13706,1.13979
2017-07-13,1.13983,1.14718,1.13917,1.14688
2017-07-16,1.14741,1.14871,1.1435,1.14782
2017-07-17,1.14784,1.15832,1.14717,1.15538
2017-07-18,1.15558,1.15566,1.15101,1.15154
2017-07-19,1.15145,1.16582,1.14794,1.16312
2017-07-20,1.16298,1.16826,1.16192,1.16642
2017-07-23,1.16635,1.16845,1.16257,1.1642
2017-07-24,1.16406,1.17124,1.16306,1.16472
2017-07-25,1.16507,1.174,1.16128,1.17346
2017-07-26,1.17364,1.1777,1.16502,1.16774
2017-07-27,1.16776,1.17644,1.16712,1.17498
2017-07-30,1.17482,1.1846,1.17232,1.18424
2017-07-31,1.18414,1.18446,1.1785,1.18016
2017-08-01,1.1802,1.19108,1.17942,1.18558
2017-08-02,1.1856,1.18932,1.18306,1.18691
2017-08-03,1.18707,1.18896,1.17284,1.17734
2017-08-06,1.17738,1.18142,1.17717,1.1795
2017-08-07,1.17938,1.18242,1.17154,1.17529
2017-08-08,1.17508,1.17642,1.16888,1.1759
2017-08-09,1.17592,1.1785,1.17042,1.17726
2017-08-10,1.17733,1.18476,1.17484,1.18219
2017-08-13,1.1822,1.18384,1.177,1.17804
2017-08-14,1.17799,1.17928,1.16873,1.1735
2017-08-15,1.17347,1.1779,1.16813,1.17676
2017-08-16,1.17659,1.17902,1.16622,1.17242
2017-08-17,1.17219,1.17749,1.17087,1.17607
2017-08-20,1.1755,1.1828,1.17314,1.18146
2017-08-21,1.18157,1.18244,1.17454,1.17615
2017-08-22,1.17613,1.18232,1.17402,1.18071
2017-08-23,1.18088,1.18182,1.17842,1.18002
2017-08-24,1.18017,1.19415,1.17736,1.19232
2017-08-27,1.19458,1.19839,1.19171,1.19786
2017-08-28,1.19774,1.20705,1.19461,1.19718
2017-08-29,1.19714,1.19845,1.1881,1.18842
2017-08-30,1.18842,1.19126,1.18232,1.1909
2017-08-31,1.1909,1.198,1.18498,1.18598
2017-09-03,1.18842,1.19224,1.18737,1.18961
2017-09-04,1.18961,1.1941,1.18684,1.1915
2017-09-05,1.1915,1.19504,1.19032,1.19177
2017-09-06,1.19177,1.20594,1.19144,1.20241
2017-09-07,1.20241,1.20928,1.2015,1.20353
2017-09-10,1.20179,1.20297,1.1948,1.19538
2017-09-11,1.19538,1.19782,1.19264,1.19666
2017-09-12,1.19666,1.19951,1.18728,1.18856
2017-09-13,1.18856,1.19226,1.18373,1.19182
2017-09-14,1.19182,1.19877,1.19008,1.19476
2017-09-17,1.19205,1.19692,1.19152,1.19546
2017-09-18,1.19546,1.20067,1.19497,1.19946
2017-09-19,1.19946,1.20353,1.18616,1.18932
2017-09-20,1.18932,1.19538,1.1866,1.1942
2017-09-21,1.1942,1.20044,1.19366,1.19478
2017-09-24,1.18988,1.19363,1.18318,1.1848
2017-09-25,1.1848,1.18616,1.17573,1.17935
2017-09-26,1.17921,1.17955,1.1717,1.17451
2017-09-27,1.1747,1.1804,1.17208,1.17862
2017-09-28,1.17862,1.18328,1.17728,1.1815
2017-10-01,1.17919,1.18156,1.173,1.17323
2017-10-02,1.17334,1.17738,1.16962,1.1744
2017-10-03,1.1742,1.17882,1.17347,1.17596
2017-10-04,1.17632,1.1779,1.16992,1.17114
2017-10-05,1.17114,1.17386,1.16692,1.17326
2017-10-06,1.17324,1.17324,1.17324,1.17324
2017-10-08,1.17298,1.17562,1.17197,1.17413
2017-10-09,1.17403,1.18254,1.17394,1.18084
2017-10-10,1.1808,1.18692,1.17951,1.18599
2017-10-11,1.18599,1.188,1.18268,1.18306
2017-10-12,1.18282,1.1875,1.18056,1.18234
2017-10-15,1.1814,1.18668,1.17806,1.17964
2017-10-16,1.17964,1.18004,1.17362,1.17668
2017-10-17,1.17668,1.18054,1.17302,1.17866
2017-10-18,1.17892,1.18582,1.17683,1.1852
2017-10-19,1.18526,1.18584,1.17624,1.17799
2017-10-20,1.17799,1.17799,1.17799,1.17799
2017-10-22,1.17651,1.17774,1.17254,1.17499
2017-10-23,1.1749,1.17933,1.17428,1.17606
2017-10-24,1.17606,1.1818,1.17531,1.18136
2017-10-25,1.18126,1.1837,1.16406,1.16519
2017-10-26,1.16524,1.16576,1.15741,1.1608
2017-10-29,1.16096,1.16578,1.15936,1.16517
2017-10-30,1.16495,1.16614,1.16248,1.16458
2017-10-31,1.16457,1.16575,1.16066,1.16194
2017-11-01,1.16194,1.16878,1.16132,1.16584
2017-11-02,1.16578,1.16914,1.15994,1.16101
2017-11-05,1.16172,1.16244,1.15804,1.16096
2017-11-06,1.16115,1.16157,1.15539,1.15867
2017-11-07,1.15888,1.16114,1.1579,1.15944
2017-11-08,1.15959,1.1655,1.15856,1.16416
2017-11-09,1.16384,1.1678,1.16228,1.1665
2017-11-12,1.16585,1.16754,1.16376,1.1667
2017-11-13,1.16685,1.18052,1.16614,1.1798
2017-11-14,1.1794,1.18612,1.17846,1.17912
2017-11-15,1.17916,1.18009,1.17568,1.17694
2017-11-16,1.17714,1.18216,1.17654,1.1791
2017-11-19,1.1791,1.18083,1.17221,1.17326
2017-11-20,1.17344,1.17578,1.1713,1.17388
2017-11-21,1.17388,1.18268,1.17328,1.18232
2017-11-22,1.18234,1.18558,1.18136,1.18516
2017-11-23,1.18502,1.19442,1.18369,1.19325
2017-11-26,1.19242,1.19612,1.18958,1.18983
2017-11-27,1.18978,1.192,1.18272,1.18412
2017-11-28,1.18406,1.18827,1.18166,1.18477
2017-11-29,1.18483,1.19312,1.18086,1.19041
2017-11-30,1.19041,1.19404,1.18508,1.18974
2017-12-03,1.1865,1.1879,1.18293,1.18653
2017-12-04,1.18642,1.18768,1.18006,1.18262
2017-12-05,1.18258,1.18486,1.17804,1.1796
2017-12-06,1.17946,1.18148,1.17719,1.17726
2017-12-07,1.17741,1.1777,1.173,1.17721
2017-12-10,1.17642,1.18118,1.17637,1.17693
2017-12-11,1.17725,1.17926,1.17177,1.1743
2017-12-12,1.17415,1.1832,1.17295,1.18261
2017-12-13,1.18244,1.18628,1.1771,1.17771
2017-12-14,1.17782,1.18124,1.17488,1.17503
2017-12-17,1.17459,1.18344,1.17382,1.1781
2017-12-18,1.17819,1.1849,1.17766,1.18398
2017-12-19,1.18403,1.19016,1.18291,1.18712
2017-12-20,1.18683,1.18898,1.18492,1.18739
2017-12-21,1.18756,1.1876,1.1817,1.18617
2017-12-25,1.18688,1.18792,1.18466,1.18584
2017-12-26,1.18569,1.19105,1.18548,1.18881
2017-12-27,1.18979,1.19591,1.18954,1.19448
2017-12-28,1.19432,1.20256,1.1936,1.20039
2018-01-01,1.20071,1.20812,1.20019,1.2058
2018-01-02,1.2059,1.20666,1.2001,1.20144
2018-01-03,1.20144,1.2089,1.20042,1.20683
2018-01-04,1.20664,1.20834,1.20208,1.20297
2018-01-07,1.20271,1.20522,1.19558,1.19687
2018-01-08,1.19689,1.19756,1.19159,1.19369
2018-01-09,1.19369,1.20182,1.19235,1.19474
2018-01-10,1.19479,1.20592,1.19295,1.2032
2018-01-11,1.20332,1.22193,1.20308,1.21968
2018-01-14,1.21935,1.22968,1.21878,1.22636
2018-01-15,1.22655,1.22832,1.21952,1.22607
2018-01-16,1.22591,1.2323,1.21776,1.21854
2018-01-17,1.21872,1.2265,1.21653,1.2239
2018-01-18,1.2237,1.22954,1.22152,1.22211
2018-01-21,1.22716,1.22743,1.22141,1.22614
2018-01-22,1.22614,1.23062,1.2223,1.2299
2018-01-23,1.23004,1.24154,1.22914,1.2408
2018-01-24,1.24104,1.25374,1.23642,1.2398
2018-01-25,1.2394,1.2494,1.23699,1.24296
2018-01-28,1.2428,1.24324,1.2337,1.23827
2018-01-29,1.2381,1.24543,1.23349,1.24024
2018-01-30,1.24028,1.24748,1.2387,1.24138
2018-01-31,1.24098,1.25233,1.23849,1.25079
2018-02-01,1.25135,1.25184,1.24092,1.24566
2018-02-04,1.24359,1.2475,1.23625,1.23671
2018-02-05,1.23671,1.24346,1.23138,1.2377
2018-02-06,1.23763,1.24064,1.2246,1.2263
2018-02-07,1.22606,1.2295,1.22122,1.2247
2018-02-08,1.22458,1.22871,1.2206,1.22512
2018-02-11,1.2249,1.22978,1.22352,1.22912
2018-02-12,1.2289,1.23711,1.22844,1.23521
2018-02-13,1.23517,1.24654,1.2276,1.24505
2018-02-14,1.2452,1.25108,1.24483,1.25066
2018-02-15,1.2503,1.2556,1.23936,1.24097
2018-02-18,1.24027,1.24354,1.23691,1.24074
2018-02-19,1.24054,1.24123,1.23197,1.23372
2018-02-20,1.23376,1.236,1.22812,1.22854
2018-02-21,1.2286,1.23524,1.22596,1.23314
2018-02-22,1.23296,1.23376,1.228,1.22957
2018-02-25,1.22952,1.2355,1.22776,1.23176
2018-02-26,1.23183,1.23464,1.22218,1.22333
2018-02-27,1.22333,1.22415,1.21874,1.21946
2018-02-28,1.21932,1.22736,1.21542,1.22666
2018-03-01,1.2262,1.2336,1.22514,1.23183
2018-03-04,1.23336,1.23656,1.22689,1.23358
2018-03-05,1.23358,1.24205,1.23284,1.2405
2018-03-06,1.2407,1.24464,1.23849,1.24114
2018-03-07,1.24114,1.24465,1.22978,1.23122
2018-03-08,1.23114,1.23346,1.22728,1.23059
2018-03-11,1.23138,1.23456,1.22904,1.23347
2018-03-12,1.23395,1.24075,1.23146,1.23904
2018-03-13,1.23908,1.24126,1.23471,1.23678
2018-03-14,1.23658,1.2384,1.23002,1.23048
2018-03-15,1.23048,1.23362,1.22604,1.22895
2018-03-18,1.22863,1.2359,1.2258,1.23354
2018-03-19,1.23354,1.23546,1.22398,1.22412
2018-03-20,1.22412,1.23498,1.22405,1.23376
2018-03-21,1.2341,1.23884,1.22853,1.23013
2018-03-22,1.23005,1.23738,1.22999,1.23524
2018-03-25,1.235,1.24616,1.235,1.24451
2018-03-26,1.24479,1.24767,1.23722,1.24028
2018-03-27,1.24028,1.24218,1.22999,1.23079
2018-03-28,1.23086,1.23366,1.22842,1.22998
2018-03-29,1.23015,1.23312,1.22904,1.23241
2018-04-01,1.23213,1.2345,1.22814,1.2302
2018-04-02,1.23024,1.23362,1.22534,1.22706
2018-04-03,1.22686,1.23148,1.22569,1.22777
